timestamp,company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,gender,Race,Education
6/7/2017 11:33:27,Oracle,Product Manager,127000,"Redwood City, CA",1.5,1.5,male,White,Some College
6/10/2017 17:11:29,eBay,Software Engineer,100000,"San Francisco, CA",5.0,3.0,male,White,Some College
6/11/2017 14:53:57,Amazon,Product Manager,310000,"Seattle, WA",8.0,0.0,male,White,Some College
6/17/2017 0:23:14,Apple,Software Engineering Manager,372000,"Sunnyvale, CA",7.0,5.0,male,White,Some College
6/20/2017 10:58:51,Microsoft,Software Engineer,157000,"Mountain View, CA",5.0,3.0,male,White,Some College
6/21/2017 17:27:47,Microsoft,Software Engineer,208000,"Seattle, WA",8.5,8.5,male,White,Some College
6/22/2017 12:37:51,Microsoft,Software Engineering Manager,300000,"Redmond, WA",15.0,11.0,male,White,Some College
6/22/2017 13:55:26,Microsoft,Software Engineer,156000,"Seattle, WA",4.0,4.0,male,White,Some College
6/22/2017 23:08:16,Microsoft,Software Engineer,120000,"Redmond, WA",3.0,1.0,male,Hispanic,Masters Degree
6/26/2017 21:25:45,Microsoft,Software Engineer,201000,"Seattle, WA",12.0,6.0,male,Hispanic,Masters Degree
6/30/2017 16:29:50,Salesforce,Software Engineering Manager,450000,"San Francisco, CA",16.0,3.0,male,Hispanic,Masters Degree
7/2/2017 14:16:51,Microsoft,Software Engineer,155000,"Bellevue, WA",5.0,3.0,male,Hispanic,Masters Degree
7/3/2017 19:28:09,Microsoft,Product Manager,150000,"Redmond, WA",10.0,10.0,male,Hispanic,Masters Degree
7/7/2017 22:29:34,Microsoft,Software Engineer,191000,"Seattle, WA",7.0,7.0,male,Hispanic,Masters Degree
7/14/2017 21:36:15,Amazon,Software Engineering Manager,287000,"Seattle, WA",12.0,1.0,male,Hispanic,Masters Degree
7/16/2017 16:50:46,Amazon,Software Engineer,218000,"Seattle, WA",10.0,0.0,male,Black,Bachelors Degree
7/20/2017 22:35:49,Facebook,Software Engineer,168000,"Menlo Park, CA",1.0,1.0,male,Black,Bachelors Degree
7/22/2017 22:20:17,Uber,Software Engineer,160000,"San Francisco, CA",9.0,1.0,male,Black,Bachelors Degree
7/24/2017 12:21:07,Apple,Software Engineer,50000,"London, EN, United Kingdom",2.0,2.0,Female,Black,Bachelors Degree
7/24/2017 23:14:39,Microsoft,Software Engineer,195000,"Redmond, WA",9.0,9.0,Female,Black,Bachelors Degree
7/25/2017 14:44:53,Oath,Software Engineer,155000,"Sunnyvale, CA",8.0,7.0,Female,Black,Bachelors Degree
7/29/2017 19:56:08,Microsoft,Software Engineering Manager,462000,"Bellevue, WA",15.0,15.0,Female,Black,Bachelors Degree
7/31/2017 15:54:17,Amazon,Software Engineer,300000,"Seattle, WA",12.0,12.0,Female,Black,Bachelors Degree
7/31/2017 15:55:01,Amazon,Software Engineer,430000,"Seattle, WA",12.0,12.0,Female,Indian,PhD
8/1/2017 13:46:54,Microsoft,Software Engineering Manager,220000,"Seattle, WA",17.0,6.0,Female,Indian,PhD
8/4/2017 11:04:03,Microsoft,Product Manager,250000,"Redmond, WA",14.0,1.0,Female,Indian,PhD
8/6/2017 22:23:02,Apple,Software Engineer,200000,"Cupertino, CA",3.0,2.0,Female,Indian,PhD
8/6/2017 22:26:38,Microsoft,Product Manager,190000,"Seattle, WA",6.0,6.0,Female,Indian,PhD
8/7/2017 2:08:48,Google,Software Engineer,300000,"Mountain View, CA",8.0,4.0,Female,Indian,PhD
8/7/2017 11:19:56,Google,Software Engineer,440000,"New York, NY",14.0,12.0,Female,Indian,PhD
8/8/2017 5:54:25,Amazon,Software Engineering Manager,205000,"Seattle, WA",12.0,7.0,Female,Asian,PhD
8/8/2017 14:14:26,Netflix,Software Engineer,340000,"Los Gatos, CA",4.0,2.0,Female,Asian,PhD
8/10/2017 18:05:43,Apple,Software Engineer,120000,"Cupertino, CA",5.0,2.0,Female,Asian,PhD
8/13/2017 10:57:56,Amazon,Software Engineer,170000,"Dublin, DN, Ireland",9.0,2.0,Female,Asian,PhD
8/16/2017 19:25:50,Amazon,Software Engineer,161000,"Seattle, WA",7.0,2.0,Female,Asian,PhD
2022/11/29 18:52:33,Amazon,Software Engineer,200000.0,New Delhi,5.0,2.0,male,Hispanic,Bachelors Degree
2022/12/05 12:49:10,Microsoft,Software Engineer,200000.0,Seattle,5.0,2.0,male,Indian,Bachelors Degree
